category,parameter,GaN_parent_default,ZnO_parent_default,active_or_print_state,evidence,status
mobility,mup_cm2_Vs,8,NOT_NUMERICALLY_PRINTED,default,"lines 289-292 and 386-390",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
mobility,tmu,1.5,NOT_NUMERICALLY_PRINTED,default,"lines 282-292 and 376-408",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
statistics,Boltzmann,TRUE,TRUE,active,"line 265",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
statistics,Fermi_Dirac,FALSE,FALSE,inactive,"line 266",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,SRH_model,FALSE,FALSE,inactive,"line 227",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,consrh,FALSE,FALSE,inactive,"line 228",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,klasrh,FALSE,FALSE,inactive,"line 229",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,schsrh,FALSE,FALSE,inactive,"line 230",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,Auger_model,FALSE,FALSE,inactive,"lines 231-238",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,klaaug,FALSE,FALSE,inactive,"line 232",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,picaug,FALSE,FALSE,inactive,"line 233",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,hnsaug,FALSE,FALSE,inactive,"line 234",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,auggen,FALSE,FALSE,inactive,"line 235",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,kerraug,FALSE,FALSE,inactive,"line 236",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,richteraug,FALSE,FALSE,inactive,"line 237",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
recombination,solaraug,FALSE,FALSE,inactive,"line 238",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
optical,optr,FALSE,FALSE,inactive,"line 239",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
optical,solaropt,FALSE,FALSE,inactive,"line 240",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
optical,optr.gb,FALSE,FALSE,inactive,"line 241",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn_std_or_kla,FALSE,FALSE,inactive,"line 242",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,ubgn_model,FALSE,FALSE,inactive,"line 243",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn.alamo,FALSE,FALSE,inactive,"line 244",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn.bennett,FALSE,FALSE,inactive,"line 245",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn.schenk,FALSE,FALSE,inactive,"line 246",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn.lind,FALSE,FALSE,inactive,"line 247",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
BGN,bgn.persson,FALSE,FALSE,inactive,"line 248",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
ionization,incomplete,FALSE,FALSE,inactive,"lines 249-253",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
ionization,inc.two_level,FALSE,FALSE,inactive,"line 250",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
ionization,inc.ion,FALSE,FALSE,inactive,"line 251",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
ionization,ioniz,FALSE,FALSE,inactive,"line 252",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
ionization,inc.cryo,FALSE,FALSE,inactive,"line 253",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbt,FALSE,FALSE,inactive,"line 254",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbtauto,FALSE,FALSE,inactive,"line 255",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbthurkx,FALSE,FALSE,inactive,"line 256",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbtkane,FALSE,FALSE,inactive,"line 257",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbtschenk,FALSE,FALSE,inactive,"line 258",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbtheigl,FALSE,FALSE,inactive,"line 259",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,bbtnonlocal,FALSE,FALSE,inactive,"line 260",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,tat_local,FALSE,FALSE,inactive,"line 261",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,tatnonlocal,FALSE,FALSE,inactive,"line 262",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
tunneling,tat_coulombic,FALSE,FALSE,inactive,"line 263",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
impact,impact_model,FALSE,FALSE,inactive,"line 264",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
impact,impact_coefficients,NOT_PRINTED,NOT_PRINTED,inactive,"line 264",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
statistics,cubic35,FALSE,FALSE,inactive,"line 267",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
optical,gain_scale_factor,1,1,printed,"line 270",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
optical,Rsp_scale_factor,1,1,printed,"line 271",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
thermal,thermal_conductivity,NOT_PRINTED,NOT_PRINTED,not_observable,"complete MODELS PRINT",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
thermal,heat_capacity,NOT_PRINTED,NOT_PRINTED,not_observable,"complete MODELS PRINT",TRANSPORT_PARENT_DEFAULT_NOT_ACCEPTED
